"Date Printed: Thursday, September 14, 2023 10:43:39 AM"
Title: "Early Non-Primary, Non-Secondary Syphilis | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiracial | Native Hawaiian/Other Pacific Islander | Unknown | White | Female | Male | All age groups | All transmission categories""
Footnote(s): 
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","White","Male","All transmission categories","56","2.4","2,339,634"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,058"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,191"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","196,136"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Hispanic/Latino","Male","All transmission categories","14","6.7","208,333"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Black/African American","Female","All transmission categories","13","6.9","189,006"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Black/African American","Male","All transmission categories","62","33.9","182,841"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Asian","Female","All transmission categories","1","1.1","87,266"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Asian","Male","All transmission categories","2","2.4","82,477"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","25,967"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","25,871"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Multiracial","Female","All transmission categories","0","0.0","5,038"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Multiracial","Male","All transmission categories","0","0.0","5,107"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","White","Female","All transmission categories","2","0.8","238,577"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","White","Male","All transmission categories","5","2.0","245,870"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","194"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","212"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","27,519"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Hispanic/Latino","Male","All transmission categories","0","0.0","30,467"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Black/African American","Female","All transmission categories","0","0.0","2,529"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Black/African American","Male","All transmission categories","2","50.9","3,926"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Asian","Female","All transmission categories","0","0.0","3,261"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","Asian","Male","All transmission categories","1","38.3","2,612"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","American Indian/Alaska Native","Female","All transmission categories","1","16.1","6,207"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wyoming","56","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","6,082"
